date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:58	161/161	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2015%20Mar%202019%2019:33:55%20GMT	https://ethlance.com/robots.txt		(from )
20:33:58	2029/2029	---MCZ	200	added ('OK')	text/html	etag:W/%22QmZNURmjPhDJiuLz2PiN9r7xpLkQFpUMvPMHsJSGH2dKU7%22	https://ethlance.com/	C:/My%20Web%20Sites/etlance/ethlance.com/index.html	(from )
20:33:59	23413/23413	---M--	200	added ('OK')	image/png	etag:%22QmXnGWgWM7m3gbnnxnK23MVC2ejNt3edueJRQe7C8B7tcn%22	https://ethlance.com/images/og-image.png	C:/My%20Web%20Sites/etlance/ethlance.com/images/og-image.png	(from https://ethlance.com/)
20:33:59	25294/25294	---MCZ	200	added ('OK')	text/css	etag:W/%22QmUcP1AZ3dLnWDpkUgffhFEAf5WbDbyiuiyrgEiTh7Ynp7%22	https://ethlance.com/css/ethlance.css	C:/My%20Web%20Sites/etlance/ethlance.com/css/ethlance.css	(from https://ethlance.com/)
20:33:59	9662/9662	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22QmPrwDGSzvNpdGbqpv3UTDLfzgFEELNHQp8MuT2XAKvgsp%22	https://ethlance.com/images/favicon.ico	C:/My%20Web%20Sites/etlance/ethlance.com/images/favicon.ico	(from https://ethlance.com/)
20:34:00	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2015%20Mar%202019%2019:33:57%20GMT	http://platform.linkedin.com/in.js	C:/My%20Web%20Sites/etlance/platform.linkedin.com/in.3.delayed	(from https://ethlance.com/)
20:34:01	185722/185722	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2015%20Mar%202019%2019:33:58%20GMT	https://platform.linkedin.com/xdoor/scripts/in.js	C:/My%20Web%20Sites/etlance/platform.linkedin.com/xdoor/scripts/in.js	(from https://ethlance.com/)
20:34:01	7166/7166	---M--	200	added ('OK')	application/javascript	etag:%22QmcHnmXTmTuuWgEciDv28yH1VEfBbZgtnXrssGFnC62Zs9%22	https://ethlance.com/js/solidity-sha3.js	C:/My%20Web%20Sites/etlance/ethlance.com/js/solidity-sha3.js	(from https://ethlance.com/)
20:34:02	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/etlance/www.google-analytics.com/analytics.js	(from https://ethlance.com/)
20:34:03	2231282/2231282	---M--	200	added ('OK')	application/javascript	etag:%22QmRvk71p2ws5V7FNEc58sXiwUemDAMPG8LqQM21LvUE8wp%22	https://ethlance.com/js/compiled/app.js?v=1.5.24	C:/My%20Web%20Sites/etlance/ethlance.com/js/compiled/app4bf8.js	(from https://ethlance.com/)
